MEASSITEHASH , EQENTRYID , MEASVALUE , ISVALIDFLAG , CHANNEL , USERCR , USERED , CREATETIME , EDITTIME , UNKNOWN_2302 , 19272 , 000100 , T , None , vanyash , vanyash , 2018-04-27 11:58:46 , 2018-09-17 16:59:52 ,
UNKNOWN_3250 , 19272 , 000100 , T , None , vanyash , vanyash , 2018-06-16 19:56:22 , 2018-09-17 16:59:52 ,
UNKNOWN_3992 , 19273 , 1000012 , T , None , vanyash , vanyash , 2018-07-13 01:19:46 , 2018-09-17 16:59:52 ,
UNKNOWN_5182 , 28972 , 1000013 , T , None , vanyash , vanyash , 2018-07-13 01:48:54 , 2018-09-17 16:59:52 ,
UNKNOWN_6304 , 28973 , 1000014 , T , None , vanyash , vanyash , 2018-07-13 01:53:40 , 2018-09-17 16:59:52 ,
UNKNOWN_7433 , 28974 , 1000018 , T , None , vanyash , vanyash , 2018-07-13 02:04:22 , 2018-09-17 16:59:53 ,
UNKNOWN_8560 , 28975 , 1000019 , T , None , vanyash , vanyash , 2018-07-13 02:14:41 , 2018-09-17 16:59:53 ,
UNKNOWN_9495 , 28976 , 1000020 , T , None , vanyash , vanyash , 2018-07-13 02:23:44 , 2018-09-17 16:59:53 ,
UNKNOWN_17580 , 28983 , 1000038 , T , None , vanyash , vanyash , 2018-07-13 03:42:48 , 2018-09-17 16:59:53 ,
UNKNOWN_15261 , 28981 , 1000034 , T , None , vanyash , vanyash , 2018-07-13 03:21:55 , 2018-09-17 16:59:53 ,
UNKNOWN_16390 , 28982 , 1000037 , T , None , vanyash , vanyash , 2018-07-13 03:32:15 , 2018-09-17 16:59:53 ,
UNKNOWN_10624 , 28977 , 1000023 , T , None , vanyash , vanyash , 2018-07-13 02:35:10 , 2018-09-17 16:59:53 ,
UNKNOWN_11750 , 28978 , 1000024 , T , None , vanyash , vanyash , 2018-07-13 02:47:08 , 2018-09-17 16:59:53 ,
UNKNOWN_12940 , 28979 , 1000028 , T , None , vanyash , vanyash , 2018-07-13 02:58:52 , 2018-09-17 16:59:53 ,
UNKNOWN_14130 , 28980 , 1000033 , T , None , vanyash , vanyash , 2018-07-13 03:10:17 , 2018-09-17 16:59:53 ,
UNKNOWN_22678 , 28988 , 1000045 , T , None , vanyash , vanyash , 2018-07-13 04:27:41 , 2018-09-17 16:59:53 ,
UNKNOWN_23807 , 28989 , 1000047 , T , None , vanyash , vanyash , 2018-07-13 04:37:27 , 2018-09-17 16:59:53 ,
UNKNOWN_26655 , 28992 , 1000055 , T , None , vanyash , vanyash , 2018-07-13 05:02:08 , 2018-09-17 16:59:53 ,
UNKNOWN_24329 , 28990 , 1000048 , T , None , vanyash , vanyash , 2018-07-13 04:42:01 , 2018-09-17 16:59:53 ,
UNKNOWN_25527 , 28991 , 1000049 , T , None , vanyash , vanyash , 2018-07-13 04:52:23 , 2018-09-17 16:59:53 ,
UNKNOWN_18710 , 28984 , 1000041 , T , None , vanyash , vanyash , 2018-07-13 03:52:47 , 2018-09-17 16:59:53 ,
UNKNOWN_19838 , 28985 , 1000042 , T , None , vanyash , vanyash , 2018-07-13 04:02:52 , 2018-09-17 16:59:53 ,
UNKNOWN_20964 , 28986 , 1000043 , T , None , vanyash , vanyash , 2018-07-13 04:12:49 , 2018-09-17 16:59:53 ,
UNKNOWN_22155 , 28987 , 1000044 , T , None , vanyash , vanyash , 2018-07-13 04:23:12 , 2018-09-17 16:59:53 ,
UNKNOWN_33082 , 28998 , 1000066 , T , None , vanyash , vanyash , 2018-07-14 21:08:16 , 2018-09-17 16:59:54 ,
UNKNOWN_29702 , 28995 , 1000060 , T , None , vanyash , vanyash , 2018-07-14 20:34:51 , 2018-09-17 16:59:54 ,
UNKNOWN_30830 , 28996 , 1000061 , T , None , vanyash , vanyash , 2018-07-14 20:45:51 , 2018-09-17 16:59:54 ,
UNKNOWN_31955 , 28997 , 1000063 , T , None , vanyash , vanyash , 2018-07-14 20:56:58 , 2018-09-17 16:59:54 ,
UNKNOWN_28910 , 28994 , 1000058 , T , None , vanyash , vanyash , 2018-07-13 05:20:42 , 2018-09-17 16:59:54 ,
UNKNOWN_34208 , 28999 , 1000067 , T , None , vanyash , vanyash , 2018-07-14 21:19:23 , 2018-09-17 16:59:54 ,
UNKNOWN_27782 , 28993 , 1000056 , T , None , vanyash , vanyash , 2018-07-13 05:11:29 , 2018-09-17 16:59:54 ,
UNKNOWN_35336 , 29000 , 1000069 , T , None , vanyash , vanyash , 2018-07-14 21:30:43 , 2018-09-17 16:59:54 ,
UNKNOWN_36457 , 29001 , 1000070 , T , None , vanyash , vanyash , 2018-07-14 21:41:35 , 2018-09-17 16:59:54 ,
UNKNOWN_37647 , 29002 , 1000074 , T , None , vanyash , vanyash , 2018-07-14 21:53:15 , 2018-09-17 16:59:54 ,
UNKNOWN_38837 , 29003 , 1000075 , T , None , vanyash , vanyash , 2018-07-14 22:04:39 , 2018-09-17 16:59:54 ,
UNKNOWN_39967 , 29004 , 1000076 , T , None , vanyash , vanyash , 2018-07-14 22:15:27 , 2018-09-17 16:59:54 ,
UNKNOWN_41085 , 29005 , 1000077 , T , None , vanyash , vanyash , 2018-07-14 22:26:09 , 2018-09-17 16:59:54 ,
UNKNOWN_42213 , 29006 , 1000078 , T , None , vanyash , vanyash , 2018-07-14 22:37:04 , 2018-09-17 16:59:54 ,
UNKNOWN_44582 , 29008 , 1000080 , T , None , vanyash , vanyash , 2018-07-14 22:59:14 , 2018-09-17 16:59:55 ,
UNKNOWN_45773 , 29009 , 1000081 , T , None , vanyash , vanyash , 2018-07-14 23:10:04 , 2018-09-17 16:59:55 ,
UNKNOWN_46900 , 29010 , 1000084 , T , None , vanyash , vanyash , 2018-07-14 23:20:19 , 2018-09-17 16:59:55 ,
UNKNOWN_43403 , 29007 , 1000079 , T , None , vanyash , vanyash , 2018-07-14 22:48:19 , 2018-09-17 16:59:55 ,
UNKNOWN_48084 , 29011 , 1000085 , T , None , vanyash , vanyash , 2018-07-14 23:31:19 , 2018-09-17 16:59:55 ,
UNKNOWN_49213 , 29012 , 1000086 , T , None , vanyash , vanyash , 2018-07-14 23:41:46 , 2018-09-17 16:59:55 ,
UNKNOWN_50341 , 29013 , 1000087 , T , None , vanyash , vanyash , 2018-07-14 23:52:01 , 2018-09-17 16:59:55 ,
UNKNOWN_54983 , 29017 , 1000094 , T , None , vanyash , vanyash , 2018-07-15 00:33:05 , 2018-09-17 16:59:55 ,
UNKNOWN_51531 , 29014 , 1000088 , T , None , vanyash , vanyash , 2018-07-15 00:02:31 , 2018-09-17 16:59:55 ,
UNKNOWN_52661 , 29015 , 1000089 , T , None , vanyash , vanyash , 2018-07-15 00:12:46 , 2018-09-17 16:59:55 ,
UNKNOWN_53793 , 29016 , 1000091 , T , None , vanyash , vanyash , 2018-07-15 00:22:43 , 2018-09-17 16:59:55 ,
UNKNOWN_56111 , 29018 , 1000096 , T , None , vanyash , vanyash , 2018-07-15 00:42:53 , 2018-09-17 16:59:55 ,
UNKNOWN_57301 , 29019 , 1000098 , T , None , vanyash , vanyash , 2018-07-15 00:53:15 , 2018-09-17 16:59:55 ,
UNKNOWN_58430 , 29020 , 1000101 , T , None , vanyash , vanyash , 2018-07-15 01:02:50 , 2018-09-17 16:59:55 ,
UNKNOWN_59557 , 29021 , 1000105 , T , None , vanyash , vanyash , 2018-07-15 01:12:22 , 2018-09-17 16:59:55 ,
UNKNOWN_60684 , 29022 , 1000106 , T , None , vanyash , vanyash , 2018-07-15 01:21:51 , 2018-09-17 16:59:56 ,
UNKNOWN_61811 , 29023 , 1000107 , T , None , vanyash , vanyash , 2018-07-15 01:31:18 , 2018-09-17 16:59:56 ,
UNKNOWN_62954 , 29024 , 1000108 , T , None , vanyash , vanyash , 2018-07-15 01:41:00 , 2018-09-17 16:59:56 ,
UNKNOWN_67466 , 29028 , 1000112 , T , None , vanyash , vanyash , 2018-07-15 02:18:26 , 2018-09-17 16:59:56 ,
UNKNOWN_64081 , 29025 , 1000109 , T , None , vanyash , vanyash , 2018-07-15 01:50:20 , 2018-09-17 16:59:56 ,
UNKNOWN_65208 , 29026 , 1000110 , T , None , vanyash , vanyash , 2018-07-15 01:59:46 , 2018-09-17 16:59:56 ,
UNKNOWN_66337 , 29027 , 1000111 , T , None , vanyash , vanyash , 2018-07-15 02:09:10 , 2018-09-17 16:59:56 ,
UNKNOWN_68594 , 29029 , 1000130 , T , None , vanyash , vanyash , 2018-07-15 02:27:34 , 2018-09-17 16:59:56 ,
UNKNOWN_69724 , 29030 , 1000138 , T , None , vanyash , vanyash , 2018-07-15 02:36:18 , 2018-09-17 16:59:56 ,
UNKNOWN_70853 , 29031 , 1000139 , T , None , vanyash , vanyash , 2018-07-15 02:45:09 , 2018-09-17 16:59:56 ,
UNKNOWN_71980 , 29032 , 1000140 , T , None , vanyash , vanyash , 2018-07-15 02:54:03 , 2018-09-17 16:59:56 ,
UNKNOWN_73170 , 29033 , 1000142 , T , None , vanyash , vanyash , 2018-07-15 03:03:15 , 2018-09-17 16:59:57 ,
UNKNOWN_74294 , 29034 , 1000143 , T , None , vanyash , vanyash , 2018-07-15 03:12:09 , 2018-09-17 16:59:57 ,
UNKNOWN_75420 , 29035 , 1000144 , T , None , vanyash , vanyash , 2018-07-15 03:20:58 , 2018-09-17 16:59:57 ,
UNKNOWN_77676 , 29037 , 1000153 , T , None , vanyash , vanyash , 2018-07-15 03:38:10 , 2018-09-17 16:59:57 ,
UNKNOWN_78804 , 29038 , 1000154 , T , None , vanyash , vanyash , 2018-07-15 03:46:41 , 2018-09-17 16:59:57 ,
UNKNOWN_79932 , 29039 , 1000157 , T , None , vanyash , vanyash , 2018-07-15 03:55:02 , 2018-09-17 16:59:57 ,
UNKNOWN_76549 , 29036 , 1000151 , T , None , vanyash , vanyash , 2018-07-15 03:29:36 , 2018-09-17 16:59:57 ,
UNKNOWN_81061 , 29040 , 1000159 , T , None , vanyash , vanyash , 2018-07-15 04:03:24 , 2018-09-17 16:59:57 ,
UNKNOWN_82188 , 29041 , 1000161 , T , None , vanyash , vanyash , 2018-07-15 04:11:43 , 2018-09-17 16:59:57 ,
UNKNOWN_83315 , 29042 , 1000162 , T , None , vanyash , vanyash , 2018-07-15 04:19:55 , 2018-09-17 16:59:57 ,
UNKNOWN_84444 , 29043 , 1000164 , T , None , vanyash , vanyash , 2018-07-15 04:28:09 , 2018-09-17 16:59:57 ,
UNKNOWN_85570 , 29044 , 1000167 , T , None , vanyash , vanyash , 2018-07-15 04:36:22 , 2018-09-17 16:59:57 ,
UNKNOWN_86697 , 29045 , 1000170 , T , None , vanyash , vanyash , 2018-07-15 04:44:25 , 2018-09-17 16:59:57 ,
UNKNOWN_87825 , 29046 , 1000175 , T , None , vanyash , vanyash , 2018-07-15 04:52:33 , 2018-09-17 16:59:57 ,
UNKNOWN_91211 , 29049 , 1000181 , T , None , vanyash , vanyash , 2018-07-15 05:16:06 , 2018-09-17 16:59:58 ,
UNKNOWN_92339 , 29050 , 1000182 , T , None , vanyash , vanyash , 2018-07-15 05:23:45 , 2018-09-17 16:59:58 ,
UNKNOWN_88952 , 29047 , 1000178 , T , None , vanyash , vanyash , 2018-07-15 05:00:25 , 2018-09-17 16:59:58 ,
UNKNOWN_90082 , 29048 , 1000179 , T , None , vanyash , vanyash , 2018-07-15 05:08:08 , 2018-09-17 16:59:58 ,
UNKNOWN_96850 , 29054 , 1000186 , T , None , vanyash , vanyash , 2018-07-15 05:53:30 , 2018-09-17 16:59:58 ,
UNKNOWN_93468 , 29051 , 1000183 , T , None , vanyash , vanyash , 2018-07-15 05:30:51 , 2018-09-17 16:59:58 ,
UNKNOWN_94596 , 29052 , 1000184 , T , None , vanyash , vanyash , 2018-07-15 05:38:20 , 2018-09-17 16:59:58 ,
UNKNOWN_95723 , 29053 , 1000185 , T , None , vanyash , vanyash , 2018-07-15 05:45:57 , 2018-09-17 16:59:58 ,
UNKNOWN_100497 , 29058 , 1000191 , T , None , vanyash , vanyash , 2018-07-15 06:17:03 , 2018-09-17 16:59:58 ,
UNKNOWN_98040 , 29055 , 1000187 , T , None , vanyash , vanyash , 2018-07-15 06:01:04 , 2018-09-17 16:59:58 ,
UNKNOWN_99167 , 29056 , 1000188 , T , None , vanyash , vanyash , 2018-07-15 06:08:17 , 2018-09-17 16:59:58 ,
UNKNOWN_100296 , 29057 , 1000189 , T , None , vanyash , vanyash , 2018-07-15 06:15:40 , 2018-09-17 16:59:58 ,
UNKNOWN_101687 , 29059 , 1000192 , T , None , vanyash , vanyash , 2018-07-15 06:24:42 , 2018-09-17 16:59:58 ,
UNKNOWN_102815 , 29060 , 1000193 , T , None , vanyash , vanyash , 2018-07-15 06:31:40 , 2018-09-17 16:59:58 ,
UNKNOWN_104005 , 29061 , 1000196 , T , None , vanyash , vanyash , 2018-07-15 06:39:00 , 2018-09-17 16:59:58 ,
UNKNOWN_105134 , 29062 , 1000199 , T , None , vanyash , vanyash , 2018-07-15 06:45:54 , 2018-09-17 16:59:59 ,
UNKNOWN_106325 , 29063 , 1000200 , T , None , vanyash , vanyash , 2018-07-15 06:53:05 , 2018-09-17 16:59:59 ,
UNKNOWN_107454 , 29064 , 1000201 , T , None , vanyash , vanyash , 2018-07-15 06:59:53 , 2018-09-17 16:59:59 ,
UNKNOWN_108582 , 29065 , 1000203 , T , None , vanyash , vanyash , 2018-07-15 07:06:32 , 2018-09-17 16:59:59 ,
UNKNOWN_109710 , 29066 , 1000204 , T , None , vanyash , vanyash , 2018-07-15 07:13:20 , 2018-09-17 16:59:59 ,
UNKNOWN_110838 , 29067 , 1000205 , T , None , vanyash , vanyash , 2018-07-15 07:19:58 , 2018-09-17 16:59:59 ,
UNKNOWN_111964 , 29068 , 1000206 , T , None , vanyash , vanyash , 2018-07-15 07:26:31 , 2018-09-17 16:59:59 ,
UNKNOWN_113157 , 29069 , 1000208 , T , None , vanyash , vanyash , 2018-07-15 07:33:36 , 2018-09-17 16:59:59 ,
UNKNOWN_114283 , 29070 , 1000210 , T , None , vanyash , vanyash , 2018-07-15 07:39:56 , 2018-09-17 16:59:59 ,
UNKNOWN_115409 , 29071 , 1000211 , T , None , vanyash , vanyash , 2018-07-15 07:46:08 , 2018-09-17 16:59:59 ,
UNKNOWN_116536 , 29072 , 1000212 , T , None , vanyash , vanyash , 2018-07-15 07:52:27 , 2018-09-17 16:59:59 ,
UNKNOWN_118794 , 29074 , 1000216 , T , None , vanyash , vanyash , 2018-07-15 08:04:38 , 2018-09-17 17:00:00 ,
UNKNOWN_119922 , 29075 , 1000217 , T , None , vanyash , vanyash , 2018-07-15 08:10:52 , 2018-09-17 17:00:00 ,
UNKNOWN_121044 , 29076 , 1000219 , T , None , vanyash , vanyash , 2018-07-15 08:16:44 , 2018-09-17 17:00:00 ,
UNKNOWN_117664 , 29073 , 1000215 , T , None , vanyash , vanyash , 2018-07-15 07:58:31 , 2018-09-17 17:00:00 ,
UNKNOWN_122162 , 29077 , 1000221 , T , None , vanyash , vanyash , 2018-07-15 08:22:38 , 2018-09-17 17:00:00 ,
UNKNOWN_123290 , 29078 , 1000224 , T , None , vanyash , vanyash , 2018-07-15 08:28:28 , 2018-09-17 17:00:00 ,
UNKNOWN_123821 , 29079 , 1000225 , T , None , vanyash , vanyash , 2018-07-15 08:31:09 , 2018-09-17 17:00:00 ,
